;tr0
st8;07:34 28.11
st3;08:29 28.11
st13;09:25 28.11
st18;09:44 28.11
st9;10:21 28.11
st25;11:13 28.11
st24;12:03 28.11
st22;12:55 28.11
st5;13:35 28.11
st26;14:21 28.11
st0;15:14 28.11
st17;16:14 28.11
st15;16:30 28.11
st14;17:02 28.11
st27;17:57 28.11
st28;18:20 28.11
st13;19:09 28.11
st11;19:52 28.11
st16;20:31 28.11
st11;21:10 28.11
st4;21:48 28.11
st1;22:45 28.11
st12;23:07 28.11
st21;23:33 28.11
st20;23:56 28.11
st23;00:24 29.11


;tr0
st8;15:36 27.11
st3;16:31 27.11
st13;17:27 27.11
st18;17:46 27.11
st9;18:23 27.11
st25;19:15 27.11
st24;20:05 27.11
st22;20:57 27.11
st5;21:37 27.11
st26;22:23 27.11
st0;23:16 27.11
st17;00:16 28.11
st15;00:32 28.11
st14;01:04 28.11
st27;01:59 28.11
st28;02:22 28.11
st13;03:11 28.11
st11;03:54 28.11
st16;04:33 28.11
st11;05:12 28.11
st4;05:50 28.11
st1;06:47 28.11
st12;07:09 28.11
st21;07:35 28.11
st20;07:58 28.11
st23;08:26 28.11


;tr0
st8;20:30 26.11
st3;21:25 26.11
st13;22:21 26.11
st18;22:40 26.11
st9;23:17 26.11
st25;00:09 27.11
st24;00:59 27.11
st22;01:51 27.11
st5;02:31 27.11
st26;03:17 27.11
st0;04:10 27.11
st17;05:10 27.11
st15;05:26 27.11
st14;05:58 27.11
st27;06:53 27.11
st28;07:16 27.11
st13;08:05 27.11
st11;08:48 27.11
st16;09:27 27.11
st11;10:06 27.11
st4;10:44 27.11
st1;11:41 27.11
st12;12:03 27.11
st21;12:29 27.11
st20;12:52 27.11
st23;13:20 27.11


;tr1
st26;00:45 28.11
st0;01:38 28.11
st11;02:36 28.11
st13;03:19 28.11
st3;04:15 28.11
st8;05:10 28.11
st6;06:05 28.11
st2;06:36 28.11
st14;07:21 28.11
st1;08:03 28.11
st29;08:45 28.11
st27;09:44 28.11
st17;10:26 28.11
st25;11:22 28.11
st24;12:12 28.11
st22;13:04 28.11
st21;13:26 28.11
st7;14:05 28.11
st23;15:04 28.11
st20;15:32 28.11
st23;16:00 28.11
st20;16:28 28.11
st23;16:56 28.11


;tr1
st26;13:27 26.11
st0;14:20 26.11
st11;15:18 26.11
st13;16:01 26.11
st3;16:57 26.11
st8;17:52 26.11
st6;18:47 26.11
st2;19:18 26.11
st14;20:03 26.11
st1;20:45 26.11
st29;21:27 26.11
st27;22:26 26.11
st17;23:08 26.11
st25;00:04 27.11
st24;00:54 27.11
st22;01:46 27.11
st21;02:08 27.11
st7;02:47 27.11
st23;03:46 27.11
st20;04:14 27.11
st23;04:42 27.11
st20;05:10 27.11
st23;05:38 27.11


;tr1
st26;14:17 27.11
st0;15:10 27.11
st11;16:08 27.11
st13;16:51 27.11
st3;17:47 27.11
st8;18:42 27.11
st6;19:37 27.11
st2;20:08 27.11
st14;20:53 27.11
st1;21:35 27.11
st29;22:17 27.11
st27;23:16 27.11
st17;23:58 27.11
st25;00:54 28.11
st24;01:44 28.11
st22;02:36 28.11
st21;02:58 28.11
st7;03:37 28.11
st23;04:36 28.11
st20;05:04 28.11
st23;05:32 28.11
st20;06:00 28.11
st23;06:28 28.11


;tr1
st26;01:30 27.11
st0;02:23 27.11
st11;03:21 27.11
st13;04:04 27.11
st3;05:00 27.11
st8;05:55 27.11
st6;06:50 27.11
st2;07:21 27.11
st14;08:06 27.11
st1;08:48 27.11
st29;09:30 27.11
st27;10:29 27.11
st17;11:11 27.11
st25;12:07 27.11
st24;12:57 27.11
st22;13:49 27.11
st21;14:11 27.11
st7;14:50 27.11
st23;15:49 27.11
st20;16:17 27.11
st23;16:45 27.11
st20;17:13 27.11
st23;17:41 27.11


;tr10
st15;23:11 26.11
st14;23:43 26.11
st2;00:28 27.11
st6;00:59 27.11
st8;01:54 27.11
st29;02:14 27.11
st1;02:56 27.11
st4;03:53 27.11
st3;04:10 27.11
st13;05:06 27.11
st11;05:49 27.11
st0;06:47 27.11
st26;07:40 27.11
st5;08:26 27.11
st22;09:06 27.11
st24;09:58 27.11


;tr10
st15;20:43 27.11
st14;21:15 27.11
st2;22:00 27.11
st6;22:31 27.11
st8;23:26 27.11
st29;23:46 27.11
st1;00:28 28.11
st4;01:25 28.11
st3;01:42 28.11
st13;02:38 28.11
st11;03:21 28.11
st0;04:19 28.11
st26;05:12 28.11
st5;05:58 28.11
st22;06:38 28.11
st24;07:30 28.11


;tr11
st17;06:13 27.11
st0;07:13 27.11
st11;08:11 27.11
st13;08:54 27.11
st3;09:50 27.11
st7;10:15 27.11
st21;10:54 27.11
st20;11:17 27.11
st23;11:45 27.11
st7;12:44 27.11
st8;13:02 27.11
st12;13:26 27.11
st1;13:48 27.11
st22;14:19 27.11
st24;15:11 27.11
st26;15:32 27.11
st5;16:18 27.11


;tr11
st17;16:40 26.11
st0;17:40 26.11
st11;18:38 26.11
st13;19:21 26.11
st3;20:17 26.11
st7;20:42 26.11
st21;21:21 26.11
st20;21:44 26.11
st23;22:12 26.11
st7;23:11 26.11
st8;23:29 26.11
st12;23:53 26.11
st1;00:15 27.11
st22;00:46 27.11
st24;01:38 27.11
st26;01:59 27.11
st5;02:45 27.11


;tr11
st17;21:25 27.11
st0;22:25 27.11
st11;23:23 27.11
st13;00:06 28.11
st3;01:02 28.11
st7;01:27 28.11
st21;02:06 28.11
st20;02:29 28.11
st23;02:57 28.11
st7;03:56 28.11
st8;04:14 28.11
st12;04:38 28.11
st1;05:00 28.11
st22;05:31 28.11
st24;06:23 28.11
st26;06:44 28.11
st5;07:30 28.11


;tr12
st13;15:03 27.11
st28;15:52 27.11
st8;16:50 27.11
st7;17:08 27.11
st21;17:47 27.11
st22;18:09 27.11
st1;18:40 27.11
st4;19:37 27.11
st3;19:54 27.11
st10;20:12 27.11
st11;20:29 27.11
st16;21:08 27.11
st26;21:35 27.11
st0;22:28 27.11


;tr12
st13;20:58 26.11
st28;21:47 26.11
st8;22:45 26.11
st7;23:03 26.11
st21;23:42 26.11
st22;00:04 27.11
st1;00:35 27.11
st4;01:32 27.11
st3;01:49 27.11
st10;02:07 27.11
st11;02:24 27.11
st16;03:03 27.11
st26;03:30 27.11
st0;04:23 27.11


;tr13
st20;06:25 28.11
st23;06:53 28.11
st3;07:38 28.11
st13;08:34 28.11
st1;09:03 28.11
st18;09:54 28.11
st9;10:31 28.11
st25;11:23 28.11
st24;12:13 28.11
st22;13:05 28.11
st5;13:45 28.11
st26;14:31 28.11
st0;15:24 28.11
st11;16:22 28.11
st10;16:39 28.11
st14;16:54 28.11
st27;17:49 28.11
st17;18:31 28.11
st15;18:47 28.11
st17;19:03 28.11
st28;19:43 28.11
st8;20:41 28.11
st12;21:05 28.11
st21;21:31 28.11
st7;22:10 28.11
st8;22:28 28.11
st29;22:48 28.11


;tr13
st20;11:16 27.11
st23;11:44 27.11
st3;12:29 27.11
st13;13:25 27.11
st1;13:54 27.11
st18;14:45 27.11
st9;15:22 27.11
st25;16:14 27.11
st24;17:04 27.11
st22;17:56 27.11
st5;18:36 27.11
st26;19:22 27.11
st0;20:15 27.11
st11;21:13 27.11
st10;21:30 27.11
st14;21:45 27.11
st27;22:40 27.11
st17;23:22 27.11
st15;23:38 27.11
st17;23:54 27.11
st28;00:34 28.11
st8;01:32 28.11
st12;01:56 28.11
st21;02:22 28.11
st7;03:01 28.11
st8;03:19 28.11
st29;03:39 28.11


;tr13
st20;17:52 26.11
st23;18:20 26.11
st3;19:05 26.11
st13;20:01 26.11
st1;20:30 26.11
st18;21:21 26.11
st9;21:58 26.11
st25;22:50 26.11
st24;23:40 26.11
st22;00:32 27.11
st5;01:12 27.11
st26;01:58 27.11
st0;02:51 27.11
st11;03:49 27.11
st10;04:06 27.11
st14;04:21 27.11
st27;05:16 27.11
st17;05:58 27.11
st15;06:14 27.11
st17;06:30 27.11
st28;07:10 27.11
st8;08:08 27.11
st12;08:32 27.11
st21;08:58 27.11
st7;09:37 27.11
st8;09:55 27.11
st29;10:15 27.11


;tr14
st15;13:04 27.11
st14;13:36 27.11
st3;14:27 27.11
st8;15:22 27.11
st6;16:17 27.11
st2;16:48 27.11
st14;17:33 27.11
st10;17:48 27.11
st11;18:05 27.11
st13;18:48 27.11
st18;19:07 27.11
st1;19:58 27.11
st29;20:40 27.11
st27;21:39 27.11


;tr14
st15;19:29 26.11
st14;20:01 26.11
st3;20:52 26.11
st8;21:47 26.11
st6;22:42 26.11
st2;23:13 26.11
st14;23:58 26.11
st10;00:13 27.11
st11;00:30 27.11
st13;01:13 27.11
st18;01:32 27.11
st1;02:23 27.11
st29;03:05 27.11
st27;04:04 27.11


;tr2
st29;21:43 27.11
st8;22:03 27.11
st7;22:21 27.11
st23;23:20 27.11
st20;23:48 27.11
st21;00:11 28.11
st12;00:37 28.11
st1;00:59 28.11
st4;01:56 28.11
st11;02:34 28.11
st13;03:17 28.11
st3;04:13 28.11
st19;04:55 28.11
st3;05:37 28.11
st10;05:55 28.11
st14;06:10 28.11


;tr2
st29;00:24 27.11
st8;00:44 27.11
st7;01:02 27.11
st23;02:01 27.11
st20;02:29 27.11
st21;02:52 27.11
st12;03:18 27.11
st1;03:40 27.11
st4;04:37 27.11
st11;05:15 27.11
st13;05:58 27.11
st3;06:54 27.11
st19;07:36 27.11
st3;08:18 27.11
st10;08:36 27.11
st14;08:51 27.11


;tr3
st15;12:48 26.11
st17;13:04 26.11
st27;13:46 26.11
st29;14:45 26.11
st1;15:27 26.11
st22;15:58 26.11
st5;16:38 26.11
st26;17:24 26.11
st0;18:17 26.11
st11;19:15 26.11
st4;19:53 26.11
st3;20:10 26.11
st14;21:01 26.11
st2;21:46 26.11
st6;22:17 26.11
st8;23:12 26.11
st7;23:30 26.11
st21;00:09 27.11
st20;00:32 27.11
st23;01:00 27.11
st7;01:59 27.11


;tr3
st15;09:00 27.11
st17;09:16 27.11
st27;09:58 27.11
st29;10:57 27.11
st1;11:39 27.11
st22;12:10 27.11
st5;12:50 27.11
st26;13:36 27.11
st0;14:29 27.11
st11;15:27 27.11
st4;16:05 27.11
st3;16:22 27.11
st14;17:13 27.11
st2;17:58 27.11
st6;18:29 27.11
st8;19:24 27.11
st7;19:42 27.11
st21;20:21 27.11
st20;20:44 27.11
st23;21:12 27.11
st7;22:11 27.11


;tr3
st15;22:43 26.11
st17;22:59 26.11
st27;23:41 26.11
st29;00:40 27.11
st1;01:22 27.11
st22;01:53 27.11
st5;02:33 27.11
st26;03:19 27.11
st0;04:12 27.11
st11;05:10 27.11
st4;05:48 27.11
st3;06:05 27.11
st14;06:56 27.11
st2;07:41 27.11
st6;08:12 27.11
st8;09:07 27.11
st7;09:25 27.11
st21;10:04 27.11
st20;10:27 27.11
st23;10:55 27.11
st7;11:54 27.11


;tr3
st15;20:29 27.11
st17;20:45 27.11
st27;21:27 27.11
st29;22:26 27.11
st1;23:08 27.11
st22;23:39 27.11
st5;00:19 28.11
st26;01:05 28.11
st0;01:58 28.11
st11;02:56 28.11
st4;03:34 28.11
st3;03:51 28.11
st14;04:42 28.11
st2;05:27 28.11
st6;05:58 28.11
st8;06:53 28.11
st7;07:11 28.11
st21;07:50 28.11
st20;08:13 28.11
st23;08:41 28.11
st7;09:40 28.11


;tr4
st18;14:43 27.11
st1;15:34 27.11
st13;16:03 27.11
st3;16:59 27.11
st10;17:17 27.11
st14;17:32 27.11
st15;18:04 27.11
st17;18:20 27.11
st28;19:00 27.11
st8;19:58 27.11
st7;20:16 27.11
st23;21:15 27.11
st20;21:43 27.11
st21;22:06 27.11
st12;22:32 27.11
st21;22:58 27.11
st22;23:20 27.11


;tr4
st18;20:48 26.11
st1;21:39 26.11
st13;22:08 26.11
st3;23:04 26.11
st10;23:22 26.11
st14;23:37 26.11
st15;00:09 27.11
st17;00:25 27.11
st28;01:05 27.11
st8;02:03 27.11
st7;02:21 27.11
st23;03:20 27.11
st20;03:48 27.11
st21;04:11 27.11
st12;04:37 27.11
st21;05:03 27.11
st22;05:25 27.11


;tr5
st21;04:31 27.11
st22;04:53 27.11
st5;05:33 27.11
st26;06:19 27.11
st24;06:40 27.11
st25;07:30 27.11
st18;08:05 27.11
st13;08:24 27.11
st3;09:20 27.11
st23;10:05 27.11
st7;11:04 27.11
st8;11:22 27.11
st29;11:42 27.11
st1;12:24 27.11
st12;12:46 27.11
st1;13:08 27.11
st4;14:05 27.11
st11;14:43 27.11
st0;15:41 27.11
st17;16:41 27.11
st28;17:21 27.11
st27;17:44 27.11
st14;18:39 27.11
st2;19:24 27.11
st6;19:55 27.11
st8;20:50 27.11
st3;21:45 27.11


;tr5
st21;15:26 26.11
st22;15:48 26.11
st5;16:28 26.11
st26;17:14 26.11
st24;17:35 26.11
st25;18:25 26.11
st18;19:00 26.11
st13;19:19 26.11
st3;20:15 26.11
st23;21:00 26.11
st7;21:59 26.11
st8;22:17 26.11
st29;22:37 26.11
st1;23:19 26.11
st12;23:41 26.11
st1;00:03 27.11
st4;01:00 27.11
st11;01:38 27.11
st0;02:36 27.11
st17;03:36 27.11
st28;04:16 27.11
st27;04:39 27.11
st14;05:34 27.11
st2;06:19 27.11
st6;06:50 27.11
st8;07:45 27.11
st3;08:40 27.11


;tr5
st21;17:49 27.11
st22;18:11 27.11
st5;18:51 27.11
st26;19:37 27.11
st24;19:58 27.11
st25;20:48 27.11
st18;21:23 27.11
st13;21:42 27.11
st3;22:38 27.11
st23;23:23 27.11
st7;00:22 28.11
st8;00:40 28.11
st29;01:00 28.11
st1;01:42 28.11
st12;02:04 28.11
st1;02:26 28.11
st4;03:23 28.11
st11;04:01 28.11
st0;04:59 28.11
st17;05:59 28.11
st28;06:39 28.11
st27;07:02 28.11
st14;07:57 28.11
st2;08:42 28.11
st6;09:13 28.11
st8;10:08 28.11
st3;11:03 28.11


;tr6
st1;00:23 27.11
st13;00:52 27.11
st28;01:41 27.11
st27;02:04 27.11
st29;03:03 27.11
st8;03:23 27.11
st21;04:14 27.11
st20;04:37 27.11
st23;05:05 27.11
st7;06:04 27.11
st3;06:29 27.11
st19;07:11 27.11
st3;07:53 27.11
st14;08:44 27.11
st10;08:59 27.11
st11;09:16 27.11
st16;09:55 27.11
st26;10:22 27.11
st5;11:08 27.11


;tr6
st1;23:02 27.11
st13;23:31 27.11
st28;00:20 28.11
st27;00:43 28.11
st29;01:42 28.11
st8;02:02 28.11
st21;02:53 28.11
st20;03:16 28.11
st23;03:44 28.11
st7;04:43 28.11
st3;05:08 28.11
st19;05:50 28.11
st3;06:32 28.11
st14;07:23 28.11
st10;07:38 28.11
st11;07:55 28.11
st16;08:34 28.11
st26;09:01 28.11
st5;09:47 28.11


;tr7
st24;01:07 28.11
st26;01:28 28.11
